ship_city,ship_state,ship_postal_code,ship_country
FARIDPUR BAREILLY DISTRICT,UTTAR PRADESH,243503.0,IN
Rourkela,ODISHA,769015.0,IN
VIZIANAGARAM,ANDHRA PRADESH,535004.0,IN
JAIPUR,RAJASTHAN,302019.0,IN
DHARWAD,KARNATAKA,580003.0,IN
DAULATPUR,HIMACHAL PRADESH,177204.0,IN
JALNA,MAHARASHTRA,431203.0,IN
KARIMNAGAR,TELANGANA,505001.0,IN
NEW DELHI,DELHI,110033.0,IN
"ARVI,Dist- wardha",MAHARASHTRA,442201.0,IN
Kurseong,WEST BENGAL,734203.0,IN
HYDERABAD,TELANGANA,500015.0,IN
NANDURA,MAHARASHTRA,443404.0,IN
DIU,DADRA AND NAGAR,362570.0,IN
MUMBAI 400101,MAHARASHTRA,400101.0,IN
GHAZIABAD,UTTAR PRADESH,201010.0,IN
Chennai,TAMIL NADU,600012.0,IN
PONNERI,TAMIL NADU,601204.0,IN
HYDERABAD,TELANGANA,500049.0,IN
SERAMPORE,WEST BENGAL,712249.0,IN
Kinnigoli,KARNATAKA,574141.0,IN
MIRZAPUR CUM VINDHYACHAL,UTTAR PRADESH,231001.0,IN
BENGALURU,KARNATAKA,560016.0,IN
DIBRUGARH,ASSAM,786001.0,IN
THANE,MAHARASHTRA,401105.0,IN
BENGALURU,KARNATAKA,560066.0,IN
Deganga,WEST BENGAL,743438.0,IN
KOLKATA,WEST BENGAL,700033.0,IN
KARIMGANJ,ASSAM,788710.0,IN
AHMEDABAD,Gujarat,382340.0,IN
ALATHUR,KERALA,678572.0,IN
Aluva,KERALA,683102.0,IN
CHENNAI,TAMIL NADU,600083.0,IN
AZAMGARH,UTTAR PRADESH,276141.0,IN
CHENGAMANAD,KERALA,683102.0,IN
NAGPUR,MAHARASHTRA,441110.0,IN
NIZAMABAD,TELANGANA,503001.0,IN
LONI KALBHOR,MAHARASHTRA,412201.0,IN
KHELARI,JHARKHAND,829205.0,IN
Mira road,MAHARASHTRA,401107.0,IN
BENGALURU,KARNATAKA,560097.0,IN
GHAZIPUR,UTTAR PRADESH,233001.0,IN
KOLKATA,WEST BENGAL,700034.0,IN
PUNE,MAHARASHTRA,411048.0,IN
CUTTACK,ODISHA,753001.0,IN
KALABURGI,KARNATAKA,585104.0,IN
KATIHAR,BIHAR,855102.0,IN
BENGALURU,KARNATAKA,560086.0,IN
NAGERCOIL,TAMIL NADU,629002.0,IN
MUMBAI,MAHARASHTRA,400077.0,IN
KOTHAGUDEM,TELANGANA,507101.0,IN
BHINDER,RAJASTHAN,313603.0,IN
AHMEDABAD,Gujarat,382481.0,IN
CHENNAI,TAMIL NADU,600078.0,IN
JALANDHAR,PUNJAB,144005.0,IN
NARASAPUR,ANDHRA PRADESH,534275.0,IN
PALAKKAD,KERALA,678502.0,IN
PARVATHIPURAM,ANDHRA PRADESH,535501.0,IN
PUNE,MAHARASHTRA,411024.0,IN
Mumbai,MAHARASHTRA,400030.0,IN
SATNA,MADHYA PRADESH,485001.0,IN
Padur,TAMIL NADU,603103.0,IN
MADURAI,TAMIL NADU,625007.0,IN
